Customer_ID,Customer_Name,Country,Year,Product_Category,Sub-Category,Profit
JK-15370,Jay Kimmel,United States,2016,Furniture,Chairs,63.69
BD-11320,Bil Donatelli,United States,2017,Technology,Accessories,102.19
LB-16795,Laurel Beltran,United States,2016,Office Supplies,Binders,-14.92
KB-16315,Karl Braun,United States,2015,Office Supplies,Paper,5.64
DO-13435,Denny Ordway,United States,2014,Technology,Accessories,-3.00
CB-12025,Cassandra Brandow,United States,2016,Office Supplies,Binders,38.38
SM-20005,Sally Matthias,United States,2014,Office Supplies,Paper,5.23
RD-19480,Rick Duston,United States,2016,Furniture,Furnishings,5.19
JM-16195,Justin MacKendrick,United States,2014,Office Supplies,Storage,214.00
SC-20230,Scot Coram,United States,2017,Office Supplies,Storage,4.18
BO-11350,Bil Overfelt,United States,2017,Office Supplies,Fasteners,2.80
BD-11320,Bil Donatelli,United States,2017,Office Supplies,Binders,41.12
AB-10105,Adrian Barton,United States,2017,Office Supplies,Binders,-13.94
NP-18670,Nra Paige,United States,2017,Technology,Accessories,4.00
KD-16270,Karen Danels,United States,2016,Furniture,Furnishings,10.00
BF-11005,Barry Franz,United States,2016,Furniture,Furnishings,-378.40
LE-16810,Laurel Elliston,United States,2014,Office Supplies,Binders,-30.56
TT-21070,Ted Trevino,United States,2017,Office Supplies,Storage,10.35
CA-12055,Cthy Armstrong,United States,2016,Office Supplies,Binders,47.00
GD-14590,Giulietta Dortch,United States,2014,Office Supplies,Binders,5.00
DK-12895,Dana Kaydos,United States,2015,Furniture,Furnishings,82.08
RM-19675,Robert Marley,United States,2014,Technology,Phones,131.03
MY-18295,Muhammed YeDwab,United States,2014,Office Supplies,Art,1.50
DB-13555,Dorothy Badders,United States,2017,Office Supplies,Paper,23.24
JS-15880,John Stevenson,United States,2015,Furniture,Tables,356.04
MJ-17740,Max Jones,United States,2017,Office Supplies,Binders,421.08
JL-15835,John Lee,United States,2015,Furniture,Chairs,38.44
PF-19120,Peter Fuller,United States,2015,Office Supplies,Appliances,-1181.28
KB-16315,Karl Braun,United States,2014,Office Supplies,Paper,1.55
DO-13645,Doug OConnell,United States,2017,Furniture,Chairs,18.18
PG-18820,Patrick Gardner,United States,2015,Technology,Phones,0.30
AJ-10780,Anthony Jacobs,United States,2017,Office Supplies,Art,6.62
JG-15115,Jack Garza,United States,2015,Office Supplies,Binders,-73.58
SC-20380,ShahiCollister,United States,2017,Office Supplies,Paper,40.35
